PMV,PPD,SET,To inferior,To superior,People HeatGain,TO
1.09,30.05847259,31.79,17.52,22.63,689.6,25.69668027
1.13,31.90045026,31.95,17.52,22.64,1034.4,25.88892921
1.25,37.72576418,32.82,17.44,22.56,1379.2,26.40353949
1.34,42.34315821,33.41,17.42,22.49,1379.2,26.74883364
1.34,42.34315821,33.36,17.43,22.52,1379.2,26.7987661
1.27,38.73556571,32.77,17.51,22.61,1379.2,26.60045215
1.19,34.76020223,32.16,17.58,22.69,1379.2,26.31912211
0.94,23.66268012,31.71,17.24,22.2,1379.2,24.30417324
1.05,28.27163923,32.66,17.13,22.11,1379.2,24.70906926
1.08,29.6064854,32.85,17.15,22.13,1379.2,24.91674976
1.11,30.97274678,32.84,17.21,22.17,1379.2,25.12352314
1.1,30.51390792,32.5,17.28,22.28,1034.4,25.28463066
1.08,29.6064854,32.03,17.4,22.44,689.6,25.3916506
1.07,29.15798964,31.81,17.44,22.56,1034.4,25.49160745
1.08,29.6064854,31.87,17.44,22.56,1379.2,25.56118818
1.09,30.05847259,31.9,17.46,22.58,1379.2,25.62397966
1.1,30.51390792,31.87,17.48,22.62,1379.2,25.69484077
1.09,30.05847259,31.77,17.51,22.62,1379.2,25.70279132
1.09,30.05847259,31.77,17.51,22.62,1379.2,25.69529802
0.76,17.16658739,30.08,17.42,22.52,1379.2,23.74939316
0.99,25.70049293,32.34,17.13,22.11,1379.2,24.36249323
1.02,26.96930872,32.53,17.13,22.11,1379.2,24.56229346
1.06,28.71302734,32.75,17.13,22.11,1379.2,24.8037216
1.09,30.05847259,32.89,17.15,22.13,1034.4,24.96349375
1.09,30.05847259,32.67,17.2,22.2,689.6,25.11928477
1.08,29.6064854,32.26,17.31,22.37,1034.4,25.28232038
1.08,29.6064854,32.04,17.42,22.46,1379.2,25.45432412
1.09,30.05847259,31.87,17.48,22.6,1379.2,25.63786426
1.09,30.05847259,31.63,17.55,22.74,1379.2,25.82721767
1.1,30.51390792,31.52,17.62,22.84,1379.2,25.99516306
1.1,30.51390792,31.46,17.68,22.88,1379.2,26.0725692
0.69,15.00993087,29.41,17.6,22.76,1379.2,23.67243854
0.98,25.28516049,32.23,17.14,22.13,1379.2,24.30021371
1.01,26.54259979,32.48,17.13,22.11,1379.2,24.51363409
